id,name,address,symbol,url,description,chain,logo,audits,audit_note,gecko_id,cmcId,category,chains,module,twitter,audit_links,oracles,slug,tvl,chainTvls,change_1h,change_1d,change_7d,staking,fdv,mcap,forkedFrom,listedAt,pool2,audit
194,PancakeSwap,bsc:0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,CAKE,https://pancakeswap.finance/,The #1 AMM and yield farm on Binance Smart Chain,Binance,https://icons.llama.fi/pancakeswap.jpg,2,,pancakeswap-token,1165,Dexes,['Binance'],pancake-swap.js,PancakeSwap,['https://docs.pancakeswap.finance/#is-it-safe'],['Chainlink'],pancakeswap,6531570097.555428,"{'staking': 2298313641.973149, 'Binance': 6531570097.555428, 'Binance-staking': 2298313641.973149}",0.14555721571194624,-1.4687479579617957,2.6821421456408387,2298313641.973149,,3175836555.0,['UniSwap'],,,
113,Yearn Finance,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,YFI,https://yearn.finance/,"Yearn.finance is an aggregator service for decentralized finance (DeFi) investors, using automation to allow them to maximize profits from yield farming.",Multi-Chain,https://icons.llama.fi/yearn-finance.png,1,,yearn-finance,5864,Yield,"['Ethereum', 'Fantom']",yearn/index.js,iearnfinance,['https://github.com/yearn/yearn-audits'],,yearn-finance,5842740885.912019,"{'Ethereum': 5628672423.614794, 'Fantom': 214068462.297225}",0.11304751724648554,-2.69974833325864,-1.2686463424425085,,1077914963.0,1049299474.0,,,,
119,SushiSwap,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,SUSHI,https://sushi.com/,"A fully decentralized protocol for automated liquidity provision on Ethereum.
",Multi-Chain,https://icons.llama.fi/sushiswap.jpg,3,,sushi,6758,Dexes,"['OKExChain', 'Moonriver', 'Avalanche', 'Harmony', 'Binance', 'Palm', 'Ethereum', 'xDai', 'Heco', 'Polygon', 'Celo', 'Arbitrum', 'Fantom']",sushiswap/index.js,SushiSwap,['https://github.com/peckshield/publications/blob/master/audit_reports/PeckShield-Audit-Report-SushiSwap-v1.0.pdf'],['Chainlink'],sushiswap,5209503859.667795,"{'OKExChain': 220388.24154414723, 'Moonriver': 78075114.70818567, 'Avalanche': 324113.51586477476, 'Harmony': 90115856.99581414, 'Binance': 5890874.747148598, 'Palm': 198.53314427559937, 'Ethereum': 5295313761.2512, 'xDai': 15448944.433009619, 'Heco': 21.78333934619785, 'Ethereum-staking': 477745954.8336955, 'Polygon': 472070708.90062815, 'Celo': 55123406.61001011, 'Arbitrum': 318453800.2768919, 'Fantom': 12131450.345858725, 'staking': 477745954.8336955}",-6.44588990310001,,-4.007604142389525,477745954.8336955,1793022537.0,1382701923.0,['UniSwap'],,,
591,AnySwap,0xf99d58e463a2e07e5692127302c20a191861b4d6,ANY,https://anyswap.exchange,Anyswap is a trustless MPC protocol to cross-chain any assets and data between any chain.,Multi-Chain,https://icons.llama.fi/anyswap.svg,2,,anyswap,5892,Assets,"['OKExChain', 'Moonriver', 'Avalanche', 'Kucoin', 'Harmony', 'Binance', 'Ethereum', 'xDai', 'Heco', 'Polygon', 'Arbitrum', 'Fantom']",anyswap/index.js,AnyswapNetwork,,,anyswap,4827525671.462414,"{'OKExChain': 42552038.12601117, 'Moonriver': 278056853.99765694, 'Avalanche': 565657460.5004618, 'Kucoin': 1811512.4249659078, 'Harmony': 10330483.234344743, 'Binance': 639284040.9835005, 'Ethereum': 512475280.58388805, 'xDai': 454245.664964521, 'Heco': 2164230.445204218, 'Polygon': 52698218.246311165, 'Arbitrum': 433463100.21582204, 'Fantom': 2288578207.0392866}",0.004144863823853484,-0.16656828100460075,5.440047116405623,,1421188669.0,245187406.0,,,,
347,Abracadabra,0x090185f2135308bad17527004364ebcc2d37e5f6,SPELL,https://abracadabra.money/,Abracadabra.money is a spell book that allows users to produce magic internet money ($MIM) which is a stable coin that you can swap for any other traditional stable coin.,Multi-Chain,https://icons.llama.fi/abracadabra.svg,2,,spell-token,,Lending,"['Ethereum', 'Avalanche', 'Arbitrum', 'Fantom']",abracadabra/api.js,MIM_Spell,['https://www.certora.com/pubs/SushiBentoboxFeb2021.pdf'],,abracadabra,4677411678.045288,"{'Ethereum': 3697193300.4792476, 'Avalanche': 375300025.5246687, 'Arbitrum': 384066946.9397739, 'Fantom': 220851405.1015979}",-0.0855037748179086,-5.159210093527605,1.0258169235799954,,2600179823.0,938817833.0,,,,
294,Anchor,-,ANC,https://anchorprotocol.com/,Money market on Terra,Terra,https://icons.llama.fi/anchor.jpg,2,,anchor-protocol,8857,Lending,['Terra'],anchor/index.js,anchor_protocol,['https://docs.anchorprotocol.com/security#audits'],,anchor,4178842536.083512,{'Terra': 4178842536.083512},2.0208446800297253,-2.057079375705257,3.225192469257763,,3153855925.0,555169559.0,,,,
116,Balancer,0xba100000625a3754423978a60c9317c58a424e3d,BAL,https://balancer.finance/,"Balancer is a protocol for programmable liquidity.


",Multi-Chain,https://icons.llama.fi/balancer.png,2,,balancer,5728,Dexes,"['Ethereum', 'Polygon', 'Arbitrum']",balancer/index.js,BalancerLabs,['https://docs.balancer.fi/core-concepts/security/audits'],,balancer,3277813975.055696,"{'Ethereum': 2988641759.978761, 'Polygon': 187639486.079338, 'Arbitrum': 101532728.997597}",1.016151720602835,-5.788544582339085,-6.440564741951874,,1989946474.0,214911401.0,,,,
270,Liquity,0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D,LQTY,https://www.liquity.org/,Liquity is a decentralized borrowing protocol that allows you to draw 0% interest loans against Ether used as collateral.,Ethereum,https://icons.llama.fi/liquity.jpg,2,,liquity,7429,Minting,['Ethereum'],liquity/index.js,LiquityProtocol,"['https://github.com/trailofbits/publications/blob/master/reviews/Liquity.pdf', 'https://www.coinspect.com/liquity-audit/']",['Chainlink'],liquity,2694869700.995057,{'Ethereum': 2694869700.995057},-0.20944856181867522,-5.189352845450472,1.726419298148869,,888297343.0,115038894.0,,,,
468,Trader Joe,avax:0x6e84a6216ea6dacc71ee8e6b0a5b7322eebc0fdd,JOE,https://www.traderjoexyz.com,Trader Joe is your one-stop decentralized trading platform on the Avalanche network.,Avalanche,https://icons.llama.fi/trader-joe.png,0,,joe,,Dexes,['Avalanche'],traderjoe/index.js,traderjoe_xyz,,,trader-joe,2278579675.1808887,"{'Avalanche-staking': 238408286.28946546, 'Avalanche': 2278579675.1808887, 'staking': 238408286.28946546}",-0.4045177645184026,-8.438064331831697,,238408286.28946546,1522213613.0,379794066.0,,,,
132,hBTC,0x0316EB71485b0Ab14103307bf65a021042c6d380,hBTC,https://www.hbtc.finance/ ,"HBTC token aims to promote the growth of the decentralized marketplace by injecting Bitcoin (BTC), the largest and most liquid asset, into the decentralized finance (DeFi) eco-system.",Ethereum,https://icons.llama.fi/hbtc.jpg,0,,huobi-btc,478,Assets,['Ethereum'],hbtc.js,HBTC_official,['https://www.htokens.finance/static/pdf/audit-report-en.pdf'],,hbtc,2173443055.52,{'Ethereum': 2173443055.52},-0.2160697282648556,-5.7555947563211305,-7.266353549792385,,2173460330.0,2173460330.0,,,,
212,Venus,bsc:0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,XVS,https://venus.io/,A Decentralized Marketplace for Lenders and Borrowers with Borderless Stablecoins.,Binance,https://icons.llama.fi/venus.jpg,2,,venus,7288,Lending,['Binance'],venus.js,VenusProtocol,['https://www.certik.org/projects/swipe'],['Chainlink'],venus,2164292105.4853024,{'Binance': 2164292105.4853024},-0.6260250998706596,-6.29525465455545,-7.77813721982109,,637052862.0,244896440.0,"['Compound', 'MakerDAO']",,,
121,CREAM Finance,0x2ba592F78dB6436527729929AAf6c908497cB200,CREAM,https://cream.finance/,"Money markets, liquid staking and protocol-to-protocol lending",Multi-Chain,https://icons.llama.fi/cream-finance.png,3,,cream-2,6193,Lending,"['Binance', 'Ethereum', 'Polygon', 'Avalanche', 'Fantom']",cream/index.js,CreamdotFinance,['https://docs.cream.finance/audit-report'],"['Chainlink', 'Band']",cream-finance,2095114865.2440574,"{'Binance': 484141039.009088, 'Ethereum': 1569995792.537444, 'Polygon': 1001587.2535985343, 'Avalanche': 8126000.876227732, 'Fantom': 31850445.567699004}",-0.049976639142826684,-2.072829691032709,-1.904229226386974,,107752150.0,28242251.0,['Compound Finance'],,,
854,Maiar Exchange,elrond:MEX-455c57,MEX,https://maiar.exchange,Maiar Exchange is a DEX AMM running on the Elrond Network. It is built by the same team that has built the Elrond blockchain.,Elrond,https://icons.llama.fi/maiar-exchange.jpg,0,,,,Dexes,['Elrond'],maiar/index.js,MaiarExchange,,,maiar-exchange,2010392931.988814,"{'Elrond-staking': 322731472.401371, 'Elrond': 2010392931.988814, 'staking': 322731472.401371}",0.9937951532714067,-3.2553219580347985,,322731472.401371,,,,1637185638.0,,
494,JustLend,tron:TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,https://justlend.just.network,JustLend is a TRON-powered coin market protocol aimed at establishing fund pools whose interest rates are determined by an algorithm based on the supply and demand of TRON assets.,Tron,https://icons.llama.fi/justlend.png,0,,,,Lending,['Tron'],justlend.js,DeFi_JUST,,,justlend,1960900692.163396,"{'pool2': 0, 'Tron': 1960900692.163396, 'Tron-pool2': 0}",-1.7258457154725733,-4.889924248922469,-6.755069623522019,,,,,,0.0,
214,Raydium,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,https://raydium.io,An on-chain order book AMM powering the evolution of DeFi.,Solana,https://icons.llama.fi/raydium.jpg,0,,raydium,8526,Dexes,['Solana'],raydium.js,RaydiumProtocol,,,raydium,1783294238.033089,{'Solana': 1783294238.033089},-0.6791772710928683,-5.12819483725508,-12.537701366449681,,5353783983.0,730532507.0,,,,
694,JustCryptos,tron:TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,https://just.network/token,"Just Cryptos builds a bridge that connects premium crypto currencies from the TRON network and other public chains, and introduces token value to TRON to power the JUST ecosystem. All assets are stored, and can be swapped on Poloniex.",Tron,https://icons.llama.fi/justcryptos.png,0,,,,Bridge,['Tron'],justCryptos/index.js,DeFi_JUST,,,justcryptos,1686481951.0,{'Tron': 1686481951},0.0,-5.691279487796379,-6.546472174411633,,,,,1634850489.0,,
690,SUNSwap,tron:TSSMHYeV2uE9qYH95DqyoCuNCzEL1NvU3S,SUN,https://sunswap.com/#/home,SUNSwap is a TRON-based decentralized trading protocol for automated liquidity provision and an open financial market accessible to all.,Tron,https://icons.llama.fi/sunswap.jpg,2,,just,1116,Dexes,['Tron'],justSwap/index.js,DeFi_JUST,['https://justswap.io/docs/audit-report_cn.pdf'],,sunswap,1685852473.656917,{'Tron': 1685852473.656917},-0.04917284186871029,-3.9148773632611835,-6.232925943277223,,737134317.0,106761620.0,,1634757407.0,,
691,JustStables,tron:TMwFHYXLJaRUPeW6421aqXL4ZEzPRFGkGT,USDJ,https://juststable.tronscan.org/#/login,"JustStable is a decentralized finance system of USDJ stablecoin for everyone, anywhere, anytime.",Tron,https://icons.llama.fi/juststables.png,2,,just-stablecoin,5446,Assets,['Tron'],juststable/index.js,DeFi_JUST,['https://just.tronscan.org/docs/audit-report-just_cn.pdf'],,juststables,1655043809.1117258,{'Tron': 1655043809.1117258},-0.13679310308262416,-5.52939063365352,-10.023021427898868,,,0.0,,1634757569.0,,
115,Synthetix,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,SNX,https://synthetix.io,Synthetix is a derivatives liquidity protocol providing the backbone for derivatives trading in DeFi.,Multi-Chain,https://icons.llama.fi/synthetix.png,2,,havven,2586,Derivatives,"['Optimism', 'Ethereum']",synthetix/index.js,synthetix_io,['https://docs.synthetix.io/contracts/audits/'],['Chainlink'],synthetix,1652773776.344891,"{'Optimism': 204617319.52803344, 'Ethereum': 1448156456.8168578}",-0.38853527406847377,-4.999582613876811,-12.011000582495484,,1830155349.0,1472697723.0,,,,
467,Benqi,avax:0x8729438eb15e2c8b576fcc6aecda6a148776c0f5,QI,https://benqi.fi,"BENQI is a non-custodial liquidity market protocol, built on Avalanche. The protocol enables users to effortlessly lend, borrow, and earn interest with their digital assets.",Avalanche,https://icons.llama.fi/benqi.jpg,2,,benqi,9288,Lending,['Avalanche'],benqi/index.js,BenqiFinance,['https://docs.benqi.fi/risks#audits'],['Chainlink'],benqi,1608923364.6197019,{'Avalanche': 1608923364.6197019},0.11968938431404297,-3.6801226421026314,9.145302193853894,,1577689623.0,207346982.0,,,,
143,Flexa,0xff20817765cb7f73d4bde2e66e067e58d11095c2,AMP,https://amptoken.org/,Collateral for fast and efficient value transfer,Ethereum,https://icons.llama.fi/flexa.png_small,2,,amp-token,6945,,['Ethereum'],flexa.js,amptoken,"['https://consensys.net/diligence/audits/2020/06/amp', 'https://github.com/trailofbits/publications/blob/master/reviews/amp.pdf']",['Chainlink'],flexa,1601529371.5230684,{'Ethereum': 1601529371.5230684},-0.5354200988467852,-6.729850749047699,6.522487113136677,,5759108190.0,2786766979.0,,,,
145,Serum,,SRM,https://projectserum.com/,Serum is a decentralized exchange (DEX) and ecosystem that brings unprecedented speed and low transaction costs to decentralized finance.,Solana,https://icons.llama.fi/serum.jpg,,,serum,6187,Dexes,['Solana'],serum.js,ProjectSerum,,,serum,1596413729.193789,{'Solana': 1596413729.193789},-0.5198961957415094,-4.219281332065762,3.153100293003348,,52931147005.0,694037103.0,,,,
162,Bancor,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,BNT,https://app.bancor.network/,"Bancor is an on-chain liquidity protocol that enables automated, decentralized exchange on Ethereum and across blockchains.",Ethereum,https://icons.llama.fi/bancor.png,2,,bancor,1727,Dexes,['Ethereum'],bancor/index.js,Bancor,['https://docs.bancor.network/ethereum-contracts/security'],['Chainlink'],bancor,1522849792.09513,{'Ethereum': 1522849792.09513},0.14508806145772724,-6.310034510713166,-5.986399098415276,,913310256.0,913310256.0,,,,
204,Alchemix,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,ALCX,https://alchemix.fi/,"Alchemix is a DeFi protocol that allows for the creation of synthetic tokens that represent the future yield of a deposit. It enables users to retrieve near instant tokenized value against temporary* deposits of stablecoins.
",Ethereum,https://icons.llama.fi/alchemix.jpg,0,,alchemix,8613,Yield,['Ethereum'],alchemix.js,AlchemixFi,['https://alchemix.fi/a208baf6ca7e0d6b0116461f05e27cd9.pdf'],['Chainlink'],alchemix,1460024264.7550912,{'Ethereum': 1460024264.7550912},-0.09509468547204847,-2.4306857948372596,0.01150433995347555,,736792754.0,260976269.0,,,,
117,RenVM,0x408e41876cccdc0f92210600ef50372656052a38,REN,https://renproject.io/,"An open protocol providing access to inter-blockchain liquidity for all decentralized applications. Bring BTC, BCH and ZEC to your Ethereum app.",Multi-Chain,https://icons.llama.fi/renvm.png,2,,republic-protocol,2539,Assets,"['Avalanche', 'Binance', 'Ethereum', 'Polygon', 'Solana', 'Arbitrum', 'Fantom']",ren/index.js,renprotocol,['https://github.com/renproject/ren/wiki/Audits'],['Chainlink'],renvm,1438464326.0540247,"{'Avalanche': 5075259.912929534, 'Binance': 23947597.103616033, 'Ethereum': 1132876627.4930983, 'Polygon': 41785190.16452815, 'Solana': 162014911.75963345, 'Arbitrum': 31459417.46257596, 'Fantom': 41305322.157643214}",-0.001010348660045679,,,,915306601.0,915306601.0,,,,
484,Marinade Finance,solana:MNDEFzGvMt87ueuHvVU9VcTqsAP5b3fTGPsHuuPA5ey,MNDE,https://marinade.finance,The easiest way to stake Solana - liquid staking,Solana,https://icons.llama.fi/marinade-finance.png,2,,marinade-finance,,Staking,['Solana'],marinade.js,MarinadeFinance,"['https://marinade.finance/Neodyme.pdf', 'https://marinade.finance/AckeeBlockchain.pdf', 'https://marinade.finance/KudelskiSecurity.pdf']",,marinade-finance,1427257925.0119462,{'Solana': 1427257925.0119462},2.199849827456049,-2.198083556631275,,,1261518357.0,0.0,,,,
334,MDEX,heco:0x25d2e80cb6b86881fd7e07dd263fb79f4abe033c,MDX,https://mdex.com/,AMM,Multi-Chain,https://icons.llama.fi/mdex.png,0,,mdex,8335,Dexes,"['Binance', 'Heco']",mdex/subgraphs.js,Mdextech,"['https://mdex.com/slowmist_bsc.pdf', 'https://mdex.com/fairyproof_bsc.pdf', 'https://mdex.com/certik_bsc.pdf']",,mdex,1411310871.8594954,"{'Binance': 820415265.3017122, 'Heco': 590895606.5577832}",,,,,,524444756.0,,,,
425,Tranchess,bsc:0x20de22029ab63cf9A7Cf5fEB2b737Ca1eE4c82A6,CHESS,https://tranchess.com,Tranchess is a yield enhancing asset tracker with varied risk-return solutions,Binance,https://icons.llama.fi/tranchess.png,2,,tranchess,10974,Yield,['Binance'],tranchess/index.js,tranchess,"['https://github.com/peckshield/publications/blob/master/audit_reports/PeckShield-Audit-Report-Tranchess-v1.0.pdf', 'https://www.certik.org/projects/tranchess']",,tranchess,1402794234.487255,"{'Binance': 1402794234.487255, 'Binance-staking': 63482229.38137668, 'staking': 63482229.38137668}",0.07203459284590963,-6.281507471979253,-7.2632275065386125,63482229.38137668,799031191.0,123877174.0,,,,
862,Quarry,,-,https://quarry.so,Quarry is an open protocol for launching liquidity mining programs.,Solana,https://icons.llama.fi/quarry.png,0,,,,Staking,['Solana'],quarry/index.js,quarryprotocol,,,quarry,1325963197.4195142,{'Solana': 1325963197.4195142},0.5385685362857373,-3.119201004476025,-11.358823200624215,,,,,1637345891.0,,
260,Mirror,0x09a3ecafa817268f77be1283176b946c4ff2e608,MIR,https://mirror.finance/,Synthetics protocol for on-chain price exposure to real-world assets - accessible to all.,Multi-Chain,https://icons.llama.fi/mirror.png,2,,mirror-protocol,7857,Derivatives,"['Ethereum', 'Terra']",mirror/index.js,mirror_protocol,['https://docsend.com/view/p4es2dgvwadamgqg'],['Band'],mirror,1287184079.035867,"{'Ethereum': 151957222.976673, 'pool2': 114398963.815226, 'Terra': 1135216690.5584443, 'Terra-pool2': 57488795.870561, 'Ethereum-pool2': 56910167.944665}",-0.06414133462180871,-0.6715460469102226,-4.2677141699523276,,1413843264.0,296609311.0,,,114398963.815226,
797,Katana,,-,https://katana.roninchain.com/#/swap,Katana a DEX For Ronin,Ronin,https://icons.llama.fi/katana.jpg,0,,,,Dexes,['Ronin'],katana-ronin.js,AxieInfinity,,,katana,1269886554.053863,{'Ronin': 1269886554.053863},-0.6661311965485766,4.363596233081452,5.846347792307128,,,,,1636260169.0,,
326,Beefy Finance,bsc:0xca3f508b8e4dd382ee878a314789373d80a5190a,BIFI,https://app.beefy.finance,"Beefy Finance is a Decentralized, Multi-Chain Yield Optimizer platform that allows its users to earn compound interest on their crypto holdings. Through a set of investment strategies secured and enforced by smart contracts, Beefy Finance automatically maximizes the user rewards from various liquidity pools (LPs),‌ ‌automated market making (AMM) projects,‌ ‌and‌ ‌other yield‌ farming ‌opportunities in the DeFi ecosystem.",Multi-Chain,https://icons.llama.fi/beefy-finance.png,2,,beefy-finance,7311,Yield,"['Cronos', 'Moonriver', 'Avalanche', 'Harmony', 'Binance', 'Heco', 'Polygon', 'Celo', 'Arbitrum', 'Fantom']",beefy/index.js,beefyfinance,['https://github.com/beefyfinance/beefy-audits'],,beefy-finance,1224277866.3500001,"{'Cronos': 62768924.98, 'Moonriver': 10985602.48, 'Avalanche': 236991625.64000016, 'Harmony': 3687505.63, 'Binance': 324741073.09999967, 'Heco': 780542.3300000001, 'Polygon': 119886380.73999994, 'Celo': 10678976.879999999, 'Arbitrum': 36568124.6, 'Fantom': 417189109.97000015}",0.0,-4.281496863803085,1.5114849015869964,,100880057.0,98358056.0,,,,
807,Blizz Finance,avax:0x0f34919404a290e71fc6a510cb4a6acb8d764b24,BLZZ,https://blizz.finance,"Blizz Finance is a decentralized, non-custodial liquidity market protocol operating on Avalanche.",Avalanche,https://icons.llama.fi/blizz-finance.png,0,,blizz-finance,,Lending,['Avalanche'],blizzfinance/index.js,BlizzFinance,,['Chainlink'],blizz-finance,1195515230.3053954,{'Avalanche': 1195515230.3053954},0.02925386906670724,-6.760004962931717,69.13981953002758,,1648599176.0,82372679.0,"['Geist', 'Aave']",1636390733.0,,
136,Rari Capital,0xD291E7a03283640FDc51b121aC401383A46cC623,RGT,https://rari.capital/,"Rari Capital aims to deliver the best yield to all users with various risk tolerances. Easy, sustainable and built for the future.",Ethereum,https://icons.llama.fi/rari-capital.jpg,2,,rari-governance-token,7486,Yield,['Ethereum'],rari/onchain.js,RariCapital,['https://www.notion.so/Rari-Capital-Audit-Quantstamp-December-2020-24a1d1df94894d6881ee190686f47bc7'],['Chainlink'],rari-capital,1159009980.0640094,"{'Ethereum': 1159009980.0640094, 'pool2': 19641087.93540462, 'Ethereum-pool2': 19641087.93540462}",-0.07506420769450983,-6.921540914196598,2.5343566383150318,,310475587.0,279564193.0,,,19641087.93540462,
173,Badger DAO,0x3472A5A71965499acd81997a54BBA8D852C6E53d,BADGER,https://badger.finance/,DAO dedicated to building products and infrastructure to bring Bitcoin to DeFi.,Multi-Chain,https://icons.llama.fi/badger-dao.jpg,2,,badger-dao,7859,Yield,"['Binance', 'Ethereum', 'Arbitrum']",badgerdao.js,BadgerDAO,['https://badger.finance/wp-content/uploads/2021/01/HAECHI-AUDIT-BadgerDAO-Smart-Contract-Audit-Report-1.pdf'],['Chainlink'],badger-dao,1135158538.1877596,"{'Binance': 201509.77829063794, 'Ethereum': 1112867675.923435, 'Arbitrum': 22089352.48603381}",-0.13934518144999686,-5.596035305177992,-3.9749376729600954,,530997041.0,251892787.0,,,,
